지역명,연도,월,전용면적,평당분양가격
세종,2015.0,12.0,모든면적,8794.5
세종,2015.0,12.0,60㎡,8583.3
세종,2015.0,12.0,60㎡~85㎡,8830.8
세종,2015.0,12.0,85㎡~102㎡,8781.3
세종,2015.0,12.0,102㎡~,9081.6
강원,2015.0,12.0,모든면적,7164.299999999999
강원,2015.0,12.0,60㎡,7563.599999999999
강원,2015.0,12.0,60㎡~85㎡,7236.9
강원,2015.0,12.0,85㎡~102㎡,6801.299999999999
강원,2015.0,12.0,102㎡~,7164.299999999999
충북,2015.0,12.0,모든면적,6616.5
충북,2015.0,12.0,60㎡,6405.299999999999
충북,2015.0,12.0,60㎡~85㎡,6656.099999999999
충북,2015.0,12.0,85㎡~102㎡,7510.799999999999
충북,2015.0,12.0,102㎡~,7461.299999999999
충남,2015.0,12.0,모든면적,7487.7
충남,2015.0,12.0,60㎡,8045.4
충남,2015.0,12.0,60㎡~85㎡,7520.7
충남,2015.0,12.0,85㎡~102㎡,8325.9
충남,2015.0,12.0,102㎡~,8065.2
전북,2015.0,12.0,모든면적,6543.9
전북,2015.0,12.0,60㎡,6352.5
전북,2015.0,12.0,60㎡~85㎡,6557.099999999999
전북,2015.0,12.0,85㎡~102㎡,7844.099999999999
전북,2015.0,12.0,102㎡~,7530.599999999999
전남,2015.0,12.0,모든면적,6299.7
전남,2015.0,12.0,60㎡,6596.7
전남,2015.0,12.0,60㎡~85㎡,6289.799999999999
전남,2015.0,12.0,85㎡~102㎡,7464.599999999999
전남,2015.0,12.0,102㎡~,7180.799999999999
경북,2015.0,12.0,모든면적,7197.299999999999
경북,2015.0,12.0,60㎡,7187.4
경북,2015.0,12.0,60㎡~85㎡,7207.2
경북,2015.0,12.0,85㎡~102㎡,8302.8
경북,2015.0,12.0,102㎡~,7821.0
경남,2015.0,12.0,모든면적,7613.099999999999
경남,2015.0,12.0,60㎡,7524.0
경남,2015.0,12.0,60㎡~85㎡,7685.7
경남,2015.0,12.0,85㎡~102㎡,9682.199999999999
경남,2015.0,12.0,102㎡~,9962.699999999999
제주,2015.0,12.0,모든면적,7484.4
제주,2015.0,12.0,60㎡~85㎡,7458.0
제주,2015.0,12.0,85㎡~102㎡,8523.9
제주,2015.0,12.0,102㎡~,8494.199999999999
서울,2016.0,1.0,모든면적,20156.399999999998
서울,2016.0,1.0,60㎡,21209.1
서울,2016.0,1.0,60㎡~85㎡,19918.8
서울,2016.0,1.0,85㎡~102㎡,21492.899999999998
서울,2016.0,1.0,102㎡~,21618.3
인천,2016.0,1.0,모든면적,10530.3
인천,2016.0,1.0,60㎡,10982.4
인천,2016.0,1.0,60㎡~85㎡,10263.0
인천,2016.0,1.0,85㎡~102㎡,11698.5
인천,2016.0,1.0,102㎡~,11246.4
경기,2016.0,1.0,모든면적,10553.4
경기,2016.0,1.0,60㎡,10866.9
경기,2016.0,1.0,60㎡~85㎡,10932.9
경기,2016.0,1.0,85㎡~102㎡,11385.0
경기,2016.0,1.0,102㎡~,12705.0
부산,2016.0,1.0,모든면적,10401.599999999999
부산,2016.0,1.0,60㎡,9738.3
부산,2016.0,1.0,60㎡~85㎡,10088.1
부산,2016.0,1.0,85㎡~102㎡,9758.1
부산,2016.0,1.0,102㎡~,12579.599999999999
대구,2016.0,1.0,모든면적,10183.8
대구,2016.0,1.0,60㎡,11025.3
대구,2016.0,1.0,60㎡~85㎡,10239.9
대구,2016.0,1.0,85㎡~102㎡,8355.6
대구,2016.0,1.0,102㎡~,9051.9
광주,2016.0,1.0,모든면적,8477.699999999999
광주,2016.0,1.0,60㎡,7903.5
광주,2016.0,1.0,60㎡~85㎡,8520.6
대전,2016.0,1.0,모든면적,8098.2
대전,2016.0,1.0,60㎡,8530.5
대전,2016.0,1.0,60㎡~85㎡,8012.4
대전,2016.0,1.0,85㎡~102㎡,8121.299999999999
울산,2016.0,1.0,모든면적,10051.8
울산,2016.0,1.0,60㎡,8527.199999999999
울산,2016.0,1.0,60㎡~85㎡,10074.9
울산,2016.0,1.0,85㎡~102㎡,8787.9
울산,2016.0,1.0,102㎡~,9484.199999999999
세종,2016.0,1.0,모든면적,8794.5
세종,2016.0,1.0,60㎡,8583.3
세종,2016.0,1.0,60㎡~85㎡,8830.8
세종,2016.0,1.0,85㎡~102㎡,8781.3
세종,2016.0,1.0,102㎡~,9081.6
강원,2016.0,1.0,모든면적,7170.9
강원,2016.0,1.0,60㎡,7557.0
강원,2016.0,1.0,60㎡~85㎡,7256.7
